account_id,segment,seat_count,region,created_at
50ecd7a1-246d-4d3b-93fd-575632c82144,MID_MARKET,11,EU,2025-12-30 07:04:25.603529
540a04b3-95da-49af-b452-b6d3cfe548ed,SMB,5,EU,2025-12-30 07:04:25.603566
b3de382c-ce1e-4047-a220-cc669e0b0115,MID_MARKET,44,NA,2025-12-30 07:04:25.603592
dafa73de-22a2-4a4c-ad57-04c649894fcd,SMB,3,NA,2025-12-30 07:04:25.603614
ccfe81b8-7632-4e3b-aa54-9178d22233c2,SMB,3,EU,2025-12-30 07:04:25.603636
8e60880f-1480-4a82-b3ce-ea54c52bc02e,MID_MARKET,44,NA,2025-12-30 07:04:25.603657
84c14f12-febb-47ca-8597-e320f1205ddb,SMB,7,APAC,2025-12-30 07:04:25.603678
9e3160b3-43cb-43e2-98fb-69e259241124,SMB,5,EU,2025-12-30 07:04:25.603698
5e09556a-7716-4a3c-8f84-af299d9b22d8,SMB,5,NA,2025-12-30 07:04:25.603724
1b956eb1-ffee-4985-a168-ab8479ae073f,MID_MARKET,16,NA,2025-12-30 07:04:25.603744
766a393e-ed7d-49a5-9125-d0372c525326,SMB,8,EU,2025-12-30 07:04:25.603763
ef0ab5b6-9428-4b43-a151-7bf529513525,MID_MARKET,39,EU,2025-12-30 07:04:25.603783
45803854-4d43-4f70-a343-5637c5985398,ENTERPRISE,146,NA,2025-12-30 07:04:25.603803
9c7f342a-306a-422c-8ee5-e9bad2a17d45,SMB,8,EU,2025-12-30 07:04:25.603823
4c0e3076-d2a0-42a9-8f09-ac71d152d8f3,MID_MARKET,12,EU,2025-12-30 07:04:25.603843
ae0f427b-9795-473a-b582-94235c228da8,MID_MARKET,15,APAC,2025-12-30 07:04:25.603862
73990426-bcee-4b05-8153-fc44041116ff,ENTERPRISE,147,NA,2025-12-30 07:04:25.603881
886ca1ba-8b0e-4685-8c41-30378f65a33e,MID_MARKET,33,NA,2025-12-30 07:04:25.603901
2819d2ac-002b-4036-ade0-46791f0352cd,SMB,7,EU,2025-12-30 07:04:25.603920
24270829-ff14-4973-8001-84a3533822ba,MID_MARKET,14,EU,2025-12-30 07:04:25.603940
15adbb16-b6a7-48ea-a8df-7cd761ab3b7b,SMB,6,NA,2025-12-30 07:04:25.603959
f6bc2b6f-c936-4cc6-b508-9d962e64eb8e,SMB,6,EU,2025-12-30 07:04:25.603979
bb8f47a5-1df2-4f22-89fb-cab77966136c,MID_MARKET,13,NA,2025-12-30 07:04:25.603999
02fd378e-0dad-4018-b4f9-a1fbaaf01c37,SMB,8,NA,2025-12-30 07:04:25.604019
6c99b98f-e979-4afc-b5a2-b22ee08fbad5,SMB,8,NA,2025-12-30 07:04:25.604038
9658bdd7-28fe-4dcd-ba24-50f5f2abfa35,SMB,10,NA,2025-12-30 07:04:25.604058
82b79a7b-0e86-45be-8f7a-f5ee8e531416,SMB,7,EU,2025-12-30 07:04:25.604078
fcf4f35b-aaf4-415e-81db-b576389ea7ca,SMB,9,NA,2025-12-30 07:04:25.604098
4358f548-f073-4278-baba-eea5a8e9784b,ENTERPRISE,85,EU,2025-12-30 07:04:25.604117
31ef72a3-dab9-4f86-8655-4d744ab18ec2,SMB,3,APAC,2025-12-30 07:04:25.604136
4cae12e7-f733-4631-a52b-4559c6365e76,SMB,5,APAC,2025-12-30 07:04:25.604156
84e9eaa4-9616-4074-af72-22e5ece0c5cb,SMB,4,NA,2025-12-30 07:04:25.604175
9443b1d9-c44d-4f5e-ae61-13ad831190bc,MID_MARKET,39,EU,2025-12-30 07:04:25.604195
43d81345-e79e-4513-9d63-a17a9468b2d4,ENTERPRISE,52,EU,2025-12-30 07:04:25.604215
67879584-857c-4707-9a25-df18abb16c26,SMB,7,APAC,2025-12-30 07:04:25.604241
97618a44-2a74-4839-bdc4-9a71271c8e4d,SMB,7,NA,2025-12-30 07:04:25.604266
92ab3994-bc86-4cbb-b3dd-d6151f406db0,SMB,7,APAC,2025-12-30 07:04:25.604293
5455e675-79bc-4bac-b157-e51a697380c7,MID_MARKET,42,APAC,2025-12-30 07:04:25.604318
c581aeba-7720-4a08-9cef-8b749ecaaafb,ENTERPRISE,126,APAC,2025-12-30 07:04:25.604344
76813d81-8e9c-4013-99f4-4dadb9706c90,MID_MARKET,22,NA,2025-12-30 07:04:25.604368
7a79e211-ddda-42bd-91a2-4cbe40c0f7ed,MID_MARKET,44,APAC,2025-12-30 07:04:25.604397
bfffef5f-dfef-4ea0-a208-89c443a5a3df,ENTERPRISE,50,EU,2025-12-30 07:04:25.604428
2063a173-a1ef-46be-88a2-dfb2b1e1a632,SMB,4,APAC,2025-12-30 07:04:25.604453
7d3c3523-4720-4835-accf-81a294abf951,ENTERPRISE,128,NA,2025-12-30 07:04:25.604476
2f146201-33da-47df-9737-7fb3ebcf2643,SMB,4,NA,2025-12-30 07:04:25.604503
91dbdf48-9a5b-4cfa-a40a-087647783184,SMB,4,APAC,2025-12-30 07:04:25.604528
6b72bc60-1b30-4d0d-aa77-e3b1ebbc3720,MID_MARKET,18,NA,2025-12-30 07:04:25.604563
1f4a6389-c585-4fbd-9f0d-6e602388c0a0,SMB,5,NA,2025-12-30 07:04:25.604599
d82648d9-f1bd-4ce3-ac55-0feeaa93f091,ENTERPRISE,158,APAC,2025-12-30 07:04:25.604625
9d495559-ea30-43e9-846c-792591df618b,ENTERPRISE,101,EU,2025-12-30 07:04:25.604652
dde2c4cc-9689-4233-b7af-580375bcbe77,SMB,8,NA,2025-12-30 07:04:25.604678
05790eae-e531-427a-a232-0566347843f0,MID_MARKET,17,NA,2025-12-30 07:04:25.604703
043368aa-5d6d-46a1-ad62-a8e8ff9f1633,SMB,3,EU,2025-12-30 07:04:25.604731
69fa4c57-9cd8-42cd-a4a1-5bc884c42225,SMB,6,NA,2025-12-30 07:04:25.604757
a1f64589-e42b-41a7-ae8a-d0baeec79565,MID_MARKET,13,NA,2025-12-30 07:04:25.604785
62f81dac-de96-4617-89c6-e524ed4dbfad,ENTERPRISE,134,NA,2025-12-30 07:04:25.604813
25b6ab09-0c1f-47c4-9f93-d04b4357c819,SMB,10,NA,2025-12-30 07:04:25.604842
24dbd838-92c6-4c24-8066-7585b9cc021d,SMB,10,NA,2025-12-30 07:04:25.604870
e7712729-2831-4e73-978d-1b4fe441432e,SMB,9,NA,2025-12-30 07:04:25.604896
d3f2c5fe-3ece-40dc-8843-f348cfff104e,SMB,9,NA,2025-12-30 07:04:25.604924
2ea36b3a-44ae-43d5-afdd-317044de1c04,SMB,3,EU,2025-12-30 07:04:25.604951
83b28c62-34d8-4986-8703-93bffca6dba0,ENTERPRISE,75,NA,2025-12-30 07:04:25.604979
804cf479-48bb-4f04-a209-163107525f92,MID_MARKET,16,NA,2025-12-30 07:04:25.605010
63511a85-1646-4999-917d-4e52fa25a0d2,SMB,10,NA,2025-12-30 07:04:25.605039
ac812723-171b-473d-b516-2d6084826405,SMB,10,NA,2025-12-30 07:04:25.605068
9f79425e-5ee3-4b96-8183-6d476b867c27,ENTERPRISE,163,APAC,2025-12-30 07:04:25.605093
ffd6d3ea-64cb-4643-ac48-1c2e36236153,ENTERPRISE,75,NA,2025-12-30 07:04:25.605117
